uri,scols,srows,wcols,wrows,coff,roff,aa,eye,windowDistance,vx,vy,vz,windowHeight,shapeCount,rows,windowWidth,cols,lightCount,nmethods,opTime,nblocks,ninsts,ts,bodySize,duration
/raytracer,400,300,900,900,0,0,false,[0.0 30.0 -200.0],1.0,(-0.9999999999999999 0.0 0.0),(0.0 0.9805806756909201 0.19611613513818402),(-0.0 0.19611613513818404 -0.9805806756909202),0.6840402866513374,5,300.0,0.8975983604009242,400.0,3,0,0,0,0,2024-05-30T22:20:00.245851706Z,1395,1719966431
/raytracer,400,300,100,100,0,0,false,[0.0 30.0 -200.0],1.0,(-0.9999999999999999 0.0 0.0),(0.0 0.9805806756909201 0.19611613513818402),(-0.0 0.19611613513818404 -0.9805806756909202),0.6840402866513374,5,300.0,0.8975983604009242,400.0,3,0,0,0,0,2024-05-30T22:20:00.350800532Z,1394,24463922
/raytracer,400,300,100,300,0,0,false,[0.0 30.0 -200.0],1.0,(-0.9999999999999999 0.0 0.0),(0.0 0.9805806756909201 0.19611613513818402),(-0.0 0.19611613513818404 -0.9805806756909202),0.6840402866513374,5,300.0,0.8975983604009242,400.0,3,0,0,0,0,2024-05-30T22:20:00.476649601Z,1400,67275926
/raytracer,400,300,100,500,0,0,false,[0.0 30.0 -200.0],1.0,(-0.9999999999999999 0.0 0.0),(0.0 0.9805806756909201 0.19611613513818402),(-0.0 0.19611613513818404 -0.9805806756909202),0.6840402866513374,5,300.0,0.8975983604009242,400.0,3,0,0,0,0,2024-05-30T22:20:00.657288479Z,1398,111120191
/raytracer,400,300,100,700,0,0,false,[0.0 30.0 -200.0],1.0,(-0.9999999999999999 0.0 0.0),(0.0 0.9805806756909201 0.19611613513818402),(-0.0 0.19611613513818404 -0.9805806756909202),0.6840402866513374,5,300.0,0.8975983604009242,400.0,3,0,0,0,0,2024-05-30T22:20:00.869427287Z,1406,150299790
/raytracer,400,300,100,900,0,0,false,[0.0 30.0 -200.0],1.0,(-0.9999999999999999 0.0 0.0),(0.0 0.9805806756909201 0.19611613513818402),(-0.0 0.19611613513818404 -0.9805806756909202),0.6840402866513374,5,300.0,0.8975983604009242,400.0,3,0,0,0,0,2024-05-30T22:20:01.129457205Z,1401,196308942
/raytracer,400,300,300,100,0,0,false,[0.0 30.0 -200.0],1.0,(-0.9999999999999999 0.0 0.0),(0.0 0.9805806756909201 0.19611613513818402),(-0.0 0.19611613513818404 -0.9805806756909202),0.6840402866513374,5,300.0,0.8975983604009242,400.0,3,0,0,0,0,2024-05-30T22:20:01.271528158Z,1397,68457090
/raytracer,400,300,300,300,0,0,false,[0.0 30.0 -200.0],1.0,(-0.9999999999999999 0.0 0.0),(0.0 0.9805806756909201 0.19611613513818402),(-0.0 0.19611613513818404 -0.9805806756909202),0.6840402866513374,5,300.0,0.8975983604009242,400.0,3,0,0,0,0,2024-05-30T22:20:01.546256640Z,1395,203795429
/raytracer,400,300,300,500,0,0,false,[0.0 30.0 -200.0],1.0,(-0.9999999999999999 0.0 0.0),(0.0 0.9805806756909201 0.19611613513818402),(-0.0 0.19611613513818404 -0.9805806756909202),0.6840402866513374,5,300.0,0.8975983604009242,400.0,3,0,0,0,0,2024-05-30T22:20:01.957206752Z,1396,339000370
/raytracer,400,300,300,700,0,0,false,[0.0 30.0 -200.0],1.0,(-0.9999999999999999 0.0 0.0),(0.0 0.9805806756909201 0.19611613513818402),(-0.0 0.19611613513818404 -0.9805806756909202),0.6840402866513374,5,300.0,0.8975983604009242,400.0,3,0,0,0,0,2024-05-30T22:20:02.501952740Z,1393,473433275
